,username,messageID,timestamp,original,neutral
0,BU04,1,2024-06-27T08:18:15.707Z,What sports do you like?,Which sports do you like?
1,BU01,1,2024-06-27T08:18:26.161Z,What sports do you like to do?,Which sports do you enjoy?
2,BU03,1,2024-06-27T08:18:38.085Z,"I like doing some gym, and taking long walks.",I enjoy exercising at the gym and taking long walks.
3,BU02,2,2024-06-27T08:18:51.835Z,"I'm not so good at ball sports, but I still enjoy them ","I am not proficient at ball sports, but I still enjoy them."
4,BU04,2,2024-06-27T08:18:55.828Z,I like team sports like football or basketball,I like team sports such as football or basketball.
5,BU01,2,2024-06-27T08:19:13.433Z,I am horrible at ball sports hahaha,I am not good at ball sports.
6,BU03,3,2024-06-27T08:19:26.539Z,"Not really, I don't have so much time. What do you like of team sports?",I do not have much time. What do you like about team sports?
7,BU01,3,2024-06-27T08:19:42.525Z,I am a bit of a safety hazard when playing sports so I haven't played any sports in ages,I have not played any sports in a long time because I am prone to accidents.
8,BU04,4,2024-06-27T08:20:16.962Z,"I mostly like playing sports with others, working together ",I like playing sports with others and working together.
9,BU01,5,2024-06-27T08:20:29.866Z,But I don't really like most sports because I suck at them big time :v,I do not like most sports because I am not good at them.
10,BU04,5,2024-06-27T08:20:41.765Z,I find it hard to motivate for individual sports,I find it difficult to motivate myself for individual sports.
11,BU04,6,2024-06-27T08:20:50.893Z,I play at least once a week,I play once a week.
12,BU04,7,2024-06-27T08:21:17.691Z,What do you think of team sports?,What is your opinion on team sports?
13,BU01,6,2024-06-27T08:21:21.024Z,"I like to swim, but more like leisure, not really in a sporty way tbh","I like to swim for leisure, not in a sporty way."
14,BU01,7,2024-06-27T08:21:41.470Z,I guess I got the right animal avatar assigned,I got the correct animal avatar assigned.
15,BU02,7,2024-06-27T08:21:53.995Z,"hahahha yes, sounds like a sloth to me ","Yes, it sounds like a sloth to me."
16,BU03,5,2024-06-27T08:21:54.924Z,I don't like them a lot. I'm not the best at playing in teams.,I dislike them. I am not good at playing in teams.
17,BU04,8,2024-06-27T08:22:16.711Z,Would you like to do sport more often?,Do you want to exercise more frequently?
18,BU02,8,2024-06-27T08:22:43.003Z,"I like all sports, but as a kid I mostly did individual sports and not so much group sports ","I like all sports, but as a child, I mostly participated in individual sports and not group sports."
19,BU02,9,2024-06-27T08:22:57.462Z,and group sports seem to have balls always hahah ,Group sports often involve balls.
20,BU02,11,2024-06-27T08:23:15.435Z,and I love watching it as well,I love watching it.
21,BU03,9,2024-06-27T08:23:51.545Z,I moved a lot in the last years and it's difficult to set a new routine,"I have moved frequently in recent years, making it difficult to establish a new routine."
22,BU02,13,2024-06-27T08:23:53.364Z,"yeah, it's a bit hard to find a rock to climb here ",It is difficult to find a rock to climb here.
23,BU01,13,2024-06-27T08:23:54.787Z,Omg I kind of forgot that they are happening this year,I forgot that they are happening this year.
24,BU01,14,2024-06-27T08:24:10.957Z,yeah you can only do bouldering in halls etc.,You can only do bouldering in halls and similar places.
25,BU04,11,2024-06-27T08:24:14.795Z,Do you have a favorite sports person?,Do you have a favorite athlete?
