,username,messageID,timestamp,original,neutral
0,BU01,128,2024-06-27T08:49:02.434Z,But let's return to the matter at hand,Let us return to the matter at hand.
1,BU01,27,2024-06-27T08:29:00.523Z,What do you like about playing football?,What do you like about playing football?
2,BU01,134,2024-06-27T08:49:19.576Z,But I am not convinced on Dog,I am not convinced about the dog.
3,BU01,28,2024-06-27T08:29:33.457Z,Do you also like to watch games?,Do you like to watch games?
4,BU01,38,2024-06-27T08:33:16.263Z,Sounds difficult to learn at this age I don't know,It seems challenging to learn at this age.
5,BU02,47,2024-06-27T08:35:48.234Z,"I would say I like all sports except for those I am not at all familiar with like american football, cricket, korbal etc.","I like all sports except for those I am not familiar with, such as American football, cricket, and korfball."
6,BU02,52,2024-06-27T08:37:39.122Z,"currently I am not part of a sport club, but I mostly go to the gym ","I am not part of a sport club, but I go to the gym."
7,BU02,53,2024-06-27T08:37:59.666Z,"yeah, it was easier to keep up with the routine when I was in high school or university ",It was easier to keep up with the routine when I was in high school or university.
8,BU02,67,2024-06-27T08:41:42.521Z,"speaking of injuries, did you watch the Turkey-Chechia game last night? hahaha",Did you watch the Turkey-Czechia game last night?
9,BU02,13,2024-06-27T08:23:53.364Z,"yeah, it's a bit hard to find a rock to climb here ",It is difficult to find a rock to climb here.
10,BU03,34,2024-06-27T08:39:33.018Z,That makes sense; we had ultimate Frisbie at school. they made it mandatory for about a month,That makes sense; we had ultimate Frisbee at school. They made it mandatory for about a month.
11,BU03,36,2024-06-27T08:40:43.100Z,"Beside that, we had the two hours, but it was mostly running around or doing some exercise, and we changed sport every few weeks","We had two hours, mostly spent running around or doing some exercise, and we changed sports every few weeks."
12,BU03,9,2024-06-27T08:23:51.545Z,I moved a lot in the last years and it's difficult to set a new routine,"I have moved frequently in recent years, making it difficult to establish a new routine."
13,BU03,10,2024-06-27T08:24:36.403Z,"Haha, no. I don't follow sport. What about you? Any fav sport person?",I do not follow sports. Do you have a favorite sportsperson?
14,BU03,59,2024-06-27T08:50:13.297Z,"Yeah, but I cannot believe a cat likes team games",I cannot believe a cat likes team games.
15,BU04,56,2024-06-27T08:39:19.375Z,I play football at least once a week,I play football once a week.
16,BU04,66,2024-06-27T08:42:30.631Z,so we all like sports haha,We all like sports.
17,BU04,11,2024-06-27T08:24:14.795Z,Do you have a favorite sports person?,Do you have a favorite athlete?
18,BU04,62,2024-06-27T08:41:50.918Z,especially less skilled players compensate with bad slidings,Less skilled players compensate with poor sliding.
19,BU04,4,2024-06-27T08:20:16.962Z,"I mostly like playing sports with others, working together ",I like playing sports with others and working together.
20,BU05,56,2024-06-28T09:42:41.248Z,uhm yeah it scares me too as I get older,It scares me as I get older.
21,BU05,29,2024-06-28T09:32:04.175Z,of course that's a sport! takes coordination ,That is a sport that requires coordination.
22,BU05,122,2024-06-28T09:53:46.745Z,and then you don't watch sports series?,Do you not watch sports series?
23,BU05,62,2024-06-28T09:44:25.263Z,yeah it feels like you are fit,It feels like you are fit.
24,BU05,20,2024-06-28T09:28:02.301Z,I just like to watch the EK but really don't know much about football tbh,I like to watch the EK but do not know much about football.
25,BU06,160,2024-06-28T09:51:37.511Z,i am just telling my truth,I am stating the facts.
26,BU06,60,2024-06-28T09:38:21.910Z,what about it do you like,What do you like about it?
27,BU06,53,2024-06-28T09:37:17.597Z,i think in these casesI do root for my own country a bit more than the rest,"In these cases, I support my own country more than others."
28,BU06,52,2024-06-28T09:36:49.849Z,i nsee what you did there hahahah,I see what you did there.
29,BU06,42,2024-06-28T09:34:31.367Z,I also think i don't really like it because i'm not really good at it,I do not like it because I am not good at it.
30,BU07,39,2024-06-28T09:43:58.721Z,"I am in the summer, but as the days get shorter, I prefer to go out later","I am in the summer, but as the days get shorter, I prefer to go out later."
31,BU07,9,2024-06-28T09:27:22.038Z,but I understand that sporting can feel exhausting and overwhelming sometimes,I understand that sports can feel exhausting and overwhelming sometimes.
32,BU07,24,2024-06-28T09:35:25.514Z,"I also did that, but my training was more classical as in ballet based","I also did that, but my training was more classical, specifically ballet-based."
33,BU07,37,2024-06-28T09:42:42.357Z,Vinyasa! I like the fast flow. Do you know it?,I like the fast flow of Vinyasa. Are you familiar with it?
34,BU07,6,2024-06-28T09:25:40.036Z,I like team sports and my favorite part is that you can work together for something really important to everyone ,"I like team sports, and my favorite part is that you can work together for something important to everyone."
35,BU08,15,2024-06-28T09:25:45.534Z,thats pretty nice as well! a rotterdam lake?,That is nice as well. A lake in Rotterdam?
36,BU08,42,2024-06-28T09:34:32.013Z,but true... i hear sports can be quite dangerous. you can even hurt your knee and such things ;-) ,Sports can be quite dangerous. You can even hurt your knee and similar injuries.
37,BU08,35,2024-06-28T09:32:27.873Z,but did you ever tried some sports and actually liked it?,Have you ever tried any sports and liked it?
38,BU08,80,2024-06-28T09:46:50.289Z,what do you have to say to defend yourself?,What do you have to say to defend yourself?
39,BU08,39,2024-06-28T09:33:46.217Z,oouh thats quite a variety to be honest,That is quite a variety.
