,username,messageID,timestamp,original,neutral
0,BU01,29,2024-06-27T08:29:54.892Z,I mean the mandatory ones in high school,The mandatory ones in high school.
1,BU01,6,2024-06-27T08:21:21.024Z,"I like to swim, but more like leisure, not really in a sporty way tbh","I enjoy swimming for leisure, not as a competitive sport."
2,BU01,95,2024-06-27T08:45:05.721Z,I don't think I have ever hidden my dislike for physical exercise with anyone,I have not concealed my aversion to physical exercise from anyone.
3,BU01,18,2024-06-27T08:25:20.141Z,I will probably still manage to break a leg falling from 1 m somehow,I may still injure my leg even if I fall from a height of 1 meter.
4,BU01,25,2024-06-27T08:28:11.654Z,I used to play chess though if that counts ,I played chess previously.
5,BU02,38,2024-06-27T08:32:24.797Z,when your parents aren't driving you to practice anymore hahah,When your parents are no longer driving you to practice.
6,BU02,47,2024-06-27T08:35:48.234Z,"I would say I like all sports except for those I am not at all familiar with like american football, cricket, korbal etc.","I like all sports except those I am not familiar with, such as American football, cricket, and korbal."
7,BU02,9,2024-06-27T08:22:57.462Z,and group sports seem to have balls always hahah ,Group sports often involve balls.
8,BU02,25,2024-06-27T08:27:16.483Z,I do tend to do more individualistic sports ,I often participate in individual sports.
9,BU02,26,2024-06-27T08:27:25.419Z,but I like watching group sports as well,I also enjoy watching group sports.
10,BU03,29,2024-06-27T08:36:34.209Z,"That you have less interaction with people. And in general you move your body ""more""",You have less interaction with people and you move your body more.
11,BU03,17,2024-06-27T08:29:01.885Z,"Not so much. Maybe short videos but I cannot watch it for an entire hour, for example",I don't watch hour-long videos. Short videos are possible.
12,BU03,35,2024-06-27T08:40:35.627Z,"Yes, that's a group sport that I liked",That is a group sport I enjoyed.
13,BU03,5,2024-06-27T08:21:54.924Z,I don't like them a lot. I'm not the best at playing in teams.,I do not prefer working in teams.
14,BU03,10,2024-06-27T08:24:36.403Z,"Haha, no. I don't follow sport. What about you? Any fav sport person?","No, I do not follow sports. Do you? Do you have a favorite sports person?"
15,BU04,48,2024-06-27T08:37:09.649Z,But you do a sport right?,Do you participate in a sport?
16,BU04,45,2024-06-27T08:36:18.328Z,you should at least know the rules,It is expected that you are familiar with the rules.
17,BU04,47,2024-06-27T08:36:35.254Z,do you play any sports now regularly?,Do you currently engage in any regular sports activities?
18,BU04,66,2024-06-27T08:42:30.631Z,so we all like sports haha,We all like sports.
19,BU04,87,2024-06-27T08:48:02.303Z,but it says you like like sports,it says you enjoy sports
20,BU05,10,2024-06-28T09:24:34.403Z,Do you have a forest close by?,Is there a forest nearby?
21,BU05,61,2024-06-28T09:44:10.989Z,and I wear a helmet and other protection,The individual wears a helmet and other protective gear.
22,BU05,60,2024-06-28T09:44:03.934Z,hahahaha I like muscle pain honestly,I like muscle pain.
23,BU05,71,2024-06-28T09:45:50.573Z,so who do you think is the imposter,Who is the imposter?
24,BU05,64,2024-06-28T09:44:55.759Z,well sphagetti legs are a thing,Spaghetti legs are a thing.
25,BU06,42,2024-06-28T09:34:31.367Z,I also think i don't really like it because i'm not really good at it,I believe I do not like it because I am not good at it.
26,BU06,160,2024-06-28T09:51:37.511Z,i am just telling my truth,I am stating my truth.
27,BU06,175,2024-06-28T09:53:00.362Z,"I think it's tiring, stressful because I'm not that good at it, and there's abig chance you'll get injured","The activity is exhausting and stressful due to my lack of proficiency, and there is a significant risk of injury."
28,BU06,18,2024-06-28T09:27:58.795Z,"and everyone always says that you feel so good afterwards, but i don't really have that","Everyone often says that they feel good afterwards, but I don't have the same experience."
29,BU06,97,2024-06-28T09:46:39.328Z,I think the name is irrelevant,The name is not important.
30,BU07,34,2024-06-28T09:40:46.037Z,"Now I don't do dancing so much anymore, but mostly yoga - every other day, and the other days I run ","I no longer engage in dancing frequently, but I practice yoga every other day and run on the remaining days."
31,BU07,33,2024-06-28T09:40:20.353Z,"That's nice! I also recently got into running, and I'm really like it. ",That is nice. I recently started running and I like it.
32,BU07,4,2024-06-28T09:25:02.386Z,"I also don't like all types of sports, but there are many types that I love","There are some sports I don't like, but there are others that I do."
33,BU07,20,2024-06-28T09:33:00.478Z,now you only need to find out who the impostor is ;) ,You only need to find out who the impostor is.
34,BU07,54,2024-06-28T09:48:57.365Z,"but you did say that the social aspect was nice, Bouncy Dog ",You mentioned that the social aspect was nice.
35,BU08,43,2024-06-28T09:35:07.681Z,Haha. But to be honest. I always enjoy the big football tournament times,I genuinely enjoy the times of major football tournaments.
36,BU08,9,2024-06-28T09:24:18.709Z,"I also like running in the forrest, keeps the head free",I enjoy running in the forest; it clears my mind.
37,BU08,8,2024-06-28T09:23:52.120Z,"Ow, did you recently hurt your knee by any chance?",Did you injure your knee recently?
38,BU08,60,2024-06-28T09:43:00.482Z,"Well, I really need to wait until the evening... during the day, its a bit too much for me tbh. ",I need to wait until the evening because it's too much for me during the day.
39,BU08,26,2024-06-28T09:29:11.616Z,"Naah, you convinced me sloth... lets try to find the real imposter","No, you have convinced me. Let's try to find the real imposter."
