,username,messageID,timestamp,original,neutral
0,BU01,23,2024-06-27T08:27:19.475Z,"I mostly like to swim, but that is more recreationally than a sport for me","I like to swim, but it is more recreational than a sport for me."
1,BU01,28,2024-06-27T08:29:33.457Z,Do you also like to watch games?,Do you like to watch games?
2,BU01,5,2024-06-27T08:20:29.866Z,But I don't really like most sports because I suck at them big time :v,I do not like most sports because I am not good at them.
3,BU01,39,2024-06-27T08:33:38.948Z,"Not really the moving part, more the being out in nature part","It is not really the moving part, but more the being out in nature part."
4,BU01,13,2024-06-27T08:23:54.787Z,Omg I kind of forgot that they are happening this year,I forgot that they are happening this year.
5,BU01,18,2024-06-27T08:25:20.141Z,I will probably still manage to break a leg falling from 1 m somehow,I will still manage to break a leg falling from 1 meter.
6,BU01,32,2024-06-27T08:30:48.597Z,"But never outside school, I just did chess",I only played chess at school.
7,BU01,27,2024-06-27T08:29:00.523Z,What do you like about playing football?,What do you like about playing football?
8,BU01,137,2024-06-27T08:50:18.356Z,"I also think it is Dog, Cat was trying a lot to convince me sports are nice ",I think it is Dog. Cat was trying to convince me that sports are nice.
9,BU01,101,2024-06-27T08:45:39.766Z,"They said they liked to play sports, but didn't seem enthousiastic talking about it","They mentioned they liked to play sports, but did not seem enthusiastic when talking about it."
10,BU01,49,2024-06-27T08:37:10.527Z,I was always bad at team/ball sports in high schoo;,I was always bad at team and ball sports in high school.
11,BU01,2,2024-06-27T08:19:13.433Z,I am horrible at ball sports hahaha,I am not good at ball sports.
12,BU01,17,2024-06-27T08:24:56.082Z,Im too clumsy and will definitely fall,I am clumsy and will fall.
13,BU01,24,2024-06-27T08:27:42.477Z,I am very clumsy so I have given up sports tbh,"I am very clumsy, so I have given up sports."
14,BU01,51,2024-06-27T08:37:31.671Z,but I sucked at all of them,"However, I was not good at any of them."
15,BU01,45,2024-06-27T08:35:37.370Z,That it is cooling when it is hot :'),It is cooling when it is hot.
16,BU01,113,2024-06-27T08:46:27.289Z,Too many sport experiences to not like it,There are too many sports experiences to dislike it.
17,BU01,29,2024-06-27T08:29:54.892Z,I mean the mandatory ones in high school,The mandatory ones in high school.
18,BU01,71,2024-06-27T08:42:58.098Z,Hmm I don't really like sports though 🫥,I do not like sports.
19,BU01,25,2024-06-27T08:28:11.654Z,I used to play chess though if that counts ,I used to play chess if that counts.
20,BU02,49,2024-06-27T08:36:35.090Z,I am not as active now as I used to be ,I am less active now than I was before.
21,BU02,8,2024-06-27T08:22:43.003Z,"I like all sports, but as a kid I mostly did individual sports and not so much group sports ","I like all sports, but as a child, I mostly participated in individual sports and not group sports."
22,BU02,25,2024-06-27T08:27:16.483Z,I do tend to do more individualistic sports ,I usually participate in individual sports.
23,BU02,51,2024-06-27T08:37:10.562Z,"but I used to do gymnastics, climbing, diving, dancing ","I used to do gymnastics, climbing, diving, and dancing."
24,BU02,26,2024-06-27T08:27:25.419Z,but I like watching group sports as well,I like watching group sports as well.
25,BU02,98,2024-06-27T08:48:08.953Z,"well, it's like a toxic relationship..... I keep getting hurt and still come back ",It is a harmful relationship where I keep getting hurt but still return.
26,BU02,67,2024-06-27T08:41:42.521Z,"speaking of injuries, did you watch the Turkey-Chechia game last night? hahaha",Did you watch the Turkey-Czechia game last night?
27,BU02,2,2024-06-27T08:18:51.835Z,"I'm not so good at ball sports, but I still enjoy them ","I am not proficient at ball sports, but I still enjoy them."
28,BU02,113,2024-06-27T08:49:56.849Z,but cats are the most sporty of all ,Cats are the most athletic of all.
29,BU02,53,2024-06-27T08:37:59.666Z,"yeah, it was easier to keep up with the routine when I was in high school or university ",It was easier to keep up with the routine when I was in high school or university.
30,BU02,74,2024-06-27T08:43:03.201Z,Fluffy cat said they don't really like watching sports,The cat said they do not like watching sports.
31,BU02,7,2024-06-27T08:21:53.995Z,"hahahha yes, sounds like a sloth to me ","Yes, it sounds like a sloth to me."
32,BU02,9,2024-06-27T08:22:57.462Z,and group sports seem to have balls always hahah ,Group sports often involve balls.
33,BU02,57,2024-06-27T08:38:41.970Z,"yeah, I do miss having that routine and a team waiting for me ",I miss having that routine and a team waiting for me.
34,BU02,64,2024-06-27T08:40:25.418Z,"yeah, it's also hard to find 22 people each time I would imagine hahah ","It is also difficult to find 22 people each time, I would imagine."
35,BU02,29,2024-06-27T08:28:39.915Z,"I like all athletic sports, climbing, skating, etc","I like all athletic sports, such as climbing and skating."
36,BU02,11,2024-06-27T08:23:15.435Z,and I love watching it as well,I love watching it.
37,BU02,13,2024-06-27T08:23:53.364Z,"yeah, it's a bit hard to find a rock to climb here ",It is difficult to find a rock to climb here.
38,BU02,137,2024-06-27T08:51:53.352Z,don't have a bad bone in their fluffy body ,They do not have any bad intentions.
39,BU02,38,2024-06-27T08:32:24.797Z,when your parents aren't driving you to practice anymore hahah,When your parents are not driving you to practice anymore.
40,BU03,35,2024-06-27T08:40:35.627Z,"Yes, that's a group sport that I liked",That is a group sport that I liked.
41,BU03,21,2024-06-27T08:31:26.041Z,Why aren't they part of your routine anymore?,Why are they not part of your routine anymore?
